Posicion,Equipo,PJ,PG,PE,PP,DIF,Goles,Puntos,Ultimos_5
1,Alianza Lima,16,12,3,1,+22,29:7,39,VVEVV
2,Los Chankas,16,10,3,3,+4,23:19,33,DDEVD
3,Cienciano,16,9,3,4,+11,31:20,30,EVVDE
4,Cusco,17,8,3,6,-3,21:24,27,EEDVV
5,Universitario,16,7,5,4,+8,22:14,26,DVEDE
6,Melgar,16,7,4,5,+7,26:19,25,DVEVE
7,Deportivo Garcilaso,16,6,5,5,0,17:17,23,VVVVE
8,Alianza Atlético,16,5,6,5,+4,19:15,21,VVDVE
9,Comerciantes Unidos,16,5,6,5,-1,18:19,21,VDEDE
10,ADT,17,5,5,7,+1,22:21,20,VEVDD
11,Sporting Cristal,16,5,4,7,-1,26:27,19,DEEDV
12,Moquegua,17,5,3,9,-7,17:24,18,DEDED
13,UTC,16,4,5,7,-5,19:24,17,EDDDE
14,Sport Boys,16,4,5,7,-5,14:19,17,EDEVE
15,Cajamarca,16,4,4,8,-5,22:27,16,DVVVE
16,Atlético Grau,17,4,4,9,-6,12:18,16,DDVDV
17,Sport Huancayo,16,4,4,8,-9,20:29,16,DDVDE
18,ADC Juan Pablo II,16,4,4,8,-15,21:36,16,EDDDE
